FID,Iteration,Latitude,Longitude,State,Lake,Lake ID,Lake Size km2,Number of Lakes in Buffer,Infected?,Infect Reduction Type,HSI,Probability of Infection,Boat Threshold,Initial Boats,Uninfected Boats Arriving,Infected Boats Arriving,Total Boats Arriving,Total Boats Leaving
454,0,30.3542,-95.5562,TX,Lake Conroe,0,4.6627111548,0,true,Null,1.3693063937629153E-4,1,100,28891,5172.915753221724,207.96392040547806,5380.8796736272025,28890.99999999993,
524,0,31.58821,-96.52792,TX,Springfield Lake,0,24.688071773,0,true,Null,0.16999999999999993,1,100,1180,5174.983379005053,437.38126622001914,5612.364645225072,1179.9999999999998,
186,0,46.946,-98.703,ND,JAMESTOWN RESERVOIR,0,8.397,0,false,Null,1,1,100,634.8756,204.33721880257195,7.0378607194049865,211.37507952197694,634.8755999999996,
334,0,38.925,-105.044,CO,SOUTH CATAMOUNT RESERVOIR,0,0.377,0,false,Null,0.23508642027986223,1,100,141.53476,721.8194450042506,1.413767770416186,723.2332127746668,141.53475999999998,
329,0,40.7617,-111.1036,UT,SMITH AND MOREHOUSE RESERVOIR,0,0.783,0,false,Null,0.14245064934916918,1,100,338.349333333,50.39904224730254,6.304478845202369,56.70352109250491,338.34933333299983,
353,0,38.82475,-106.580638,CO,TAYLOR PARK RESERVOIR,0,8.247,0,false,Null,0.4878785709579792,1,100,117.4147,633.9258847495576,43.49907959269362,677.4249643422512,117.41470000000001,
115,0,40.797,-105.562,CO,DOWDY LAKE,0,0.421,0,false,Null,0.38452698214819714,1,100,405.617709091,628.4936376413134,1.3598645462033683,629.8535021875167,405.61770909099994,
214,0,40.789027,-106.4735006,CO,LAKE JOHN,0,2.946,0,false,Null,1.5811388300841897E-4,1,100,8.49252,178.97108180718493,11.095997555067807,190.06707936225274,8.492519999999997,
375,0,39.224,-107.8107,CO,VEGA RESERVOIR,0,2.747,0,false,Null,0.9182409814422356,1,100,2135.6009,216.96870638908948,18.67678297429253,235.645489363382,2135.600900000004,
417,0,32.4325,-94.4811,TX,Brandy Branch Reservoir,0,1.455048513,0,false,Null,0.1755562587890276,1,100,3782,216.1523602900654,10.023479688697266,226.17583997876267,3782.0000000000005,
69,0,37.540888,-106.80299,CO,BIG MEADOWS RESERVOIR,0,0.456,0,false,Null,2.8809720581775863E-4,1,100,11.4392,42.53135862828729,3.0269542032186925,45.55831283150599,11.43920000000001,
31,0,37.2474,-105.044,CO,NORTH LAKE,0,0.245,0,false,Null,0.9097628877899998,1,100,155.237666667,2466.211059497146,1.0791661494378086,2467.2902256465836,155.2376666670004,
525,0,31.594,-93.8045,TX,Toledo Bend Reservoir,0,13.2996411726,0,false,Null,1.0E-7,1,100,7083,1550.544203557646,88.30099098598183,1638.8451945436277,7082.999999999991,
216,0,36.0589,-114.7985,AZ-NV,LAKE MEAD,0,639.986,0,true,Null,0.9192388155425117,0,100,27932.282,14569.384470402158,63871.07403049431,78440.45850089646,27932.281999999992,
118,0,40.706409,-106.452489,CO,EAST DELANEY BUTTE LAKE,0,0.265,0,false,Null,1,1,100,8.49252,25.841104814168045,1.0081648898829803,26.849269704051025,8.492520000000011,
264,0,47.318,-100.633,ND,NEW JOHNS LAKE,0,2.196,0,false,Null,0.9899494936611666,1,100,2388.5122,37.42717038417205,2.0378588705747833,39.46502925474683,2388.5122000000006,
126,0,39.637,-111.237,UT,ELECTRIC LAKE,0,1.897,0,false,Null,0.95,1,100,72.4905,181.0416618063779,25.176827421818825,206.21848922819672,72.49050000000018,
484,0,31.3895671,-95.1531936,TX,Lake Ratcliff,0,6.59031151,0,true,Null,1.0E-7,1,100,1045,1159.1717301661936,218.4362938124071,1377.6080239786006,1045,
312,0,37.7677,-107.18315,CO,ROAD CANYON RESERVOIR,0,0.618,0,false,Null,0.2747984017420765,1,100,4.97388,30.94942130231494,4.477926192395558,35.427347494710496,4.9738799999999985,
303,0,37.662,-109.438,UT,RECAPTURE RESERVOIR,0,0.895,0,false,Null,0.9055385138137416,1,100,192.2763,26.1569804034373,21.232958803535478,47.38993920697278,192.27629999999988,
246,0,38.2093,-103.6865,CO,MEREDITH RESERVOIR,0,22.414,0,false,Null,1,1,100,265.9976,2024.3371823058294,71.87250684368419,2096.2096891495135,265.99759999999935,
5,0,42.118,-111.314,UT,BEAR LAKE,0,283.313,0,true,Null,0.9442889123568061,1,100,60.1644,9677.585825549397,1500.1759506656363,11177.761776215033,60.16439999999996,
149,0,37.79206,-108.29258,CO,GROUNDHOG RESERVOIR,0,2.203,0,false,Null,0.9682200163186051,1,100,60.7074,106.39535939486625,23.995482970172223,130.39084236503848,60.707400000000035,
368,0,40.1733,-105.0444,CO,UNION RESERVOIR,0,3.033,0,false,Null,1,1,100,9195.2887,1900.0040101646382,9.79570442142955,1909.7997145860677,9195.288699999988,
416,0,31.4168419,-96.3480275,TX,Big Creek Lake,0,1.0050781496,0,false,Null,0.16999999999999993,1,100,604,386.6053094224115,17.415113986895793,404.0204234093073,604,
203,0,43.824,-104.109,WY,LAK RESERVOIR,0,0.281,0,false,Null,0.9721111047611789,1,100,213.6524,24.593415935223423,0.5057358168393716,25.099151752062795,213.6524000000002,
502,0,32.2780556,-94.5661111,TX,Martin Creek Reservoir,0,88.1636374334,0,true,Null,0.06000000000000005,1,100,4619,17943.59608019796,683.7340363667246,18627.330116564684,4619.000000000005,
229,0,40.3682,-105.1483,CO,LON HAGLER RESERVOIR,0,0.608,0,false,Null,0.9797958971132712,1,100,405.617709091,674.8162144734307,1.9476807450012383,676.7638952184319,405.61770909099965,
500,0,30.578245,-98.272797,TX,Marble Falls Lake,0,19.2342399568,0,true,Null,0.31622776601683805,1,100,5387,4150.742683923792,1172.3045886148038,5323.047272538596,5387.000000000004,
409,0,33.114548,-96.986618,TX,Lewisville Lake,0,79.7820642816,0,true,Null,1.0E-7,0,100,19818,41497.787798165904,9852.724885071684,51350.51268323759,19817.999999999993,
62,0,39.652,-105.147,CO,BEAR CREEK RESERVOIR,0,0.417,0,false,Null,0.8984428195494691,1,100,282.8668,562.1364098234748,1.462787864197308,563.599197687672,282.86680000000007,
197,0,39.664,-99.173,KS,KIRWIN RESERVOIR,0,4.205,0,false,Null,0.9375,1,100,163.5878,259.8916862604031,9.290313737159163,269.1819999975623,163.58779999999976,
141,0,42.521566,-104.98007,WY,GLENDO RESERVOIR (inflow),0,48.803,0,true,Null,1,1,100,461.61335,1769.4432037164092,114.37689995620073,1883.82010367261,461.61335,
420,0,29.2845352,-98.3202182,TX,Calaveras Reservoir,0,5.9402643882,0,true,Null,0.24499999999999988,1,100,23210,264.25975458178556,1189.3216077578186,1453.581362339604,23209.99999999999,
262,0,38.342,-102.697,CO,NEE NOSHE RES,0,12.817,0,false,Null,0.9810708435174291,1,100,20.9055,731.4188875182477,35.991552751516714,767.4104402697644,20.905500000000007,
160,0,41.713,-104.196,WY,HAWK SPRINGS RESERVOIR,0,3.845,0,false,Null,1,1,100,400.0462,197.7090628942618,9.073802403943752,206.78286529820554,400.04619999999977,
308,0,46.641,-121.167,WA,RIMROCK RESERVOIR,0,10.306,0,false,Null,2.774887385102322E-4,1,100,6570.5534,509.4076963243166,14.25846890604494,523.6661652303616,6570.5533999999925,
0,0,32.54492,-104.38174,NM,BRANTLEY RESERVOIR,0,16.187,0,false,Null,0.9433981132056604,1,100,1528.4002,257.3422007289103,69.04493437877562,326.38713510768594,1528.4002000000005,
520,0,29.8219,-94.0472,TX,Shallow Prong Lake,0,4.2281188594,0,false,Null,1.0E-7,1,100,8558,559.3586079055991,31.608206626805504,590.9668145324047,8558.000000000007,
319,0,37.04027,-121.096027,CA,SAN LUIS RESERVOIR,0,51.927,0,true,Null,0.8833002320841992,1,100,3226.506,10572.323005529803,268.7822108311261,10841.10521636093,3226.505999999997,
487,0,31.9663,-94.9929,TX,Lake Striker,0,18.3107869734,0,true,Null,1.0E-7,1,100,5018,3158.893823307077,217.7573763627511,3376.651199669828,5018.000000000006,
400,0,38.839,-120.057,CA,ECHO LAKE Lower,0,1.333,0,false,Null,1.5083103128998358E-4,1,100,2326.9722,384.2472370645028,7.248838046914574,391.4960751114174,2326.9721999999974,
310,0,37.7245,-107.2882,CO,RIO GRANDE RESERVOIR,0,4.332,0,false,Null,2.8240042492885874E-4,1,100,4.97388,204.08373300635114,32.64623214028681,236.72996514663794,4.973880000000005,
83,0,48.065,-115.925,MT,CABINET GORGE RESERVOIR,0,11.287,0,false,Null,0.864682600726995,1,100,173.4161,262.4123874603476,17.125768515606474,279.53815597595406,173.41610000000028,
344,0,40.5144,-109.5372,UT,STEINAKER RESERVOIR,0,2.77,0,false,Null,0.9310013963469658,1,100,168.64856,197.72663287374294,19.860562287679993,217.58719516142293,168.6485600000001,
21,0,43.01954,-109.7789,WY,FREMONT LAKE,0,20.441,0,false,Null,2.819574435974337E-4,1,100,74.3367,507.9324377858598,76.29007873411682,584.2225165199766,74.33670000000008,
519,0,32.3637,-96.1747,TX,Scarborough Creek Reservoir,0,327.381828096,0,true,Null,0.75,1,100,1086,59821.71558812287,5407.07247442433,65228.788062547195,1086.0000000000002,
287,0,43.204887,-108.7630017,WY,PILOT BUTTE RESERVOIR,0,3.376,0,false,Null,0.6480905337990983,1,100,380.293066667,123.69966586303777,10.994643071084713,134.6943089341225,380.2930666670001,
510,0,32.0548739,-100.2858121,TX,Oak Creek Reservoir,0,9.9151712174,0,false,Null,0.14500000000000002,1,100,607,460.9040160047393,52.83602119298766,513.7400371977269,607.0000000000003,
382,0,40.715372,-105.0314696,CO,WELLINGTON RESERVOIR NO 4,0,0.412,0,false,Null,0.9923759368303929,1,100,405.617709091,201.41292436800282,1.2383233424069713,202.6512477104098,405.6177090910001,
6,0,44.51297,-109.04164,WY,BECK LAKE,0,0.405,0,false,Null,0.9721111047611789,1,100,140.7456,18.983647397519196,1.0446446612027334,20.02829205872193,140.74560000000014,
404,0,30.2943,-97.7863,TX,Lake Austin,0,26.436315293,0,true,Null,0.41231056256176596,0,100,24123,3727.7963163842614,25636.957173029215,29364.753489413477,24122.999999999956,
356,0,44.285,-106.922,WY,TIE HACK RESERVOIR,0,0.249,0,false,Null,2.8635642126552705E-4,1,100,84.6356,7.855894523868944,0.556406100080988,8.412300623949932,84.63559999999994,
378,0,44.35497,-108.30967,WY,WARDELL RESERVOIR,0,0.382,0,false,Null,0.9567444799945279,1,100,83.3143,89.40524984540151,0.9566921703682413,90.36194201576976,83.31430000000015,
282,0,42.49383,-106.90804,WY,PATHFINDER RESERVOIR (inflow),0,70.115,0,true,Null,0.9848857801796104,1,100,623.297633333,2099.3975685367564,210.6381856805524,2310.0357542173087,623.2976333330004,
480,0,31.7621,-95.6308,TX,Lake Palestine,0,8.4798713812,0,true,Null,1.0E-7,1,100,20212,1060.5217137907246,132.69061905461086,1193.2123328453354,20211.999999999993,
61,0,33.882,-111.617,AZ,BARTLETT RESERVOIR,0,6.807,0,true,Null,0.9581381033024414,1,100,17945.607,1950.3546730850433,4483.359302630758,6433.713975715801,17945.607,
156,0,44.357398,-108.317295,WY,HARRINGTON RESERVOIR,0,0.014,0,false,Null,1,1,100,83.3143,48.82552065899164,0.03506939910266792,48.86059005809431,83.31429999999993,
230,0,40.334642,-105.134739,CO,LONETREE RESERVOIR,0,1.852,0,false,Null,0.6066456956082356,1,100,405.617709091,1773.6861475589565,5.945634234058916,1779.6317817930153,405.61770909100005,
112,0,44.027,-103.786,SD,DEERFIELD LAKE,0,1.327,0,false,Null,0.9824459272652108,1,100,1449.4118,166.34242792117044,2.256954021186204,168.59938194235664,1449.4118000000005,
151,0,37.25383,-113.7737,UT,GUNLOCK RESERVOIR,0,1.019,0,false,Null,0.9591663046625438,1,100,744.453,75.94435771705736,58.04899698842688,133.99335470548425,744.4530000000007,
128,0,38.907782,-105.480656,CO,ELEVEN MILE RESERVOIR,0,12.595,0,false,Null,1,1,100,99.007,3256.765162695208,51.49246257875788,3308.257625273966,99.00699999999998,
318,0,37.968803,-107.293879,CO,SAN CRISTOBAL LAKE,0,1.316,0,false,Null,0.640101066238762,1,100,4.97388,63.24672210015753,9.604230661248126,72.85095276140565,4.973880000000005,
89,0,40.3559,-106.8142,CO,CATAMOUNT LAKE,0,2.123,0,false,Null,0.8873978814489023,1,100,117.354366667,200.95158784855056,9.167580883718223,210.11916873226878,117.35436666699994,
117,0,40.919399,-111.591761,UT,EAST CANYON RESERVOIR,0,2.712,0,false,Null,0.9974968671630002,1,100,120.8899,325.2537834675296,21.345645967736075,346.5994294352657,120.8899,
357,0,38.6924,-119.5199,NV,TOPAZ LAKE,0,8.889,0,false,Null,0.4795831523312719,1,100,1424.7596,967.4319543033824,56.97347518762808,1024.4054294910106,1424.7595999999999,
